time ms,FSR force,trigger to gripper cmd,Max Int val,Trigger raw Value,UP Button,DOWN Button,Gripper Position,Gripper Velocity,Robot In Initial Pos,User ID: 14,OFF,trial num: 10
13199,0,10.6000003814697,40,119,False,False,10.7387504577637,5.87747175411144E-39,,,,
13248,0,10.6000003814697,40,119,False,False,10.6728448867798,5.87747175411144E-39,,,,
13293,0,10.6000003814697,40,119,False,False,10.6728448867798,5.87747175411144E-39,,,,
13342,0,10.6000003814697,40,119,False,False,10.6033658981323,5.87747175411144E-39,,,,
13387,0,10.529411315918,40,120,False,False,10.6033658981323,5.87747175411144E-39,,,,
13442,0,10.6000003814697,40,119,False,False,10.6033658981323,5.87747175411144E-39,,,,
13482,0,10.529411315918,40,120,False,False,10.6033658981323,5.87747175411144E-39,,,,
13531,0,10.529411315918,40,120,False,False,10.6033658981323,5.87747175411144E-39,,,,
13580,0,10.529411315918,40,120,False,False,10.6029720306396,5.87747175411144E-39,,,,
13625,0,10.529411315918,40,120,False,False,10.6029720306396,5.87747175411144E-39,,,,
13674,0,10.529411315918,40,120,False,False,10.6038789749146,5.87747175411144E-39,,,,
13719,0,10.529411315918,40,120,False,False,10.6038789749146,5.87747175411144E-39,,,,
13768,0,10.529411315918,40,120,False,False,10.6042671203613,5.87747175411144E-39,,,,
13813,19,10.529411315918,40,120,False,False,10.6042671203613,5.87747175411144E-39,,,,
13862,0,10.529411315918,40,120,False,False,10.5468635559082,5.87747175411144E-39,,,,
13911,0,10.4588232040405,40,121,False,False,10.5468635559082,5.87747175411144E-39,,,,
13957,0,10.4588232040405,40,121,False,False,10.5337505340576,5.87747175411144E-39,,,,
14006,0,10.529411315918,40,120,False,False,10.5337505340576,5.87747175411144E-39,,,,
14051,40,10.4588232040405,40,121,False,False,10.534008026123,5.87747175411144E-39,,,,
14100,4,10.4588232040405,40,121,False,False,10.534008026123,5.87747175411144E-39,,,,
14149,58,10.4588232040405,40,121,False,False,10.5349798202515,5.87747175411144E-39,,,,
14194,41,10.4588232040405,40,121,False,False,10.5349798202515,5.87747175411144E-39,,,,
14243,45,10.4588232040405,40,121,False,False,10.4755153656006,5.87747175411144E-39,,,,
14288,55,10.4588232040405,40,121,False,False,10.4755153656006,5.87747175411144E-39,,,,
14337,41,10.4588232040405,40,121,False,False,10.4755153656006,5.87747175411144E-39,,,,
14383,6,10.3882350921631,40,122,False,False,10.4670066833496,5.87747175411144E-39,,,,
14432,0,10.3882350921631,40,122,False,False,10.4670066833496,5.87747175411144E-39,,,,
14481,0,10.3882350921631,40,122,False,False,10.4639921188355,5.87747175411144E-39,,,,
14526,169,10.3882350921631,40,122,False,False,10.4639921188355,5.87747175411144E-39,,,,
14575,166,10.3882350921631,40,122,False,False,10.4632053375244,5.87747175411144E-39,,,,
14620,117,10.3882350921631,40,122,False,False,10.4632053375244,5.87747175411144E-39,,,,
14669,116,10.3882350921631,40,122,False,False,10.4051170349121,-2.1678740978241,,,,
14714,98,10.3882350921631,40,122,True,False,10.4051170349121,-2.1678740978241,,,,
14764,103,10.3882350921631,40,122,True,False,10.3922281265259,5.87747175411144E-39,,,,
14812,102,10.3882350921631,40,122,True,False,10.3922281265259,5.87747175411144E-39,,,,
14858,101,10.3882350921631,40,122,True,False,10.3944063186646,5.87747175411144E-39,,,,
14907,90,10.3882350921631,40,122,True,False,10.3944063186646,5.87747175411144E-39,,,,
14952,98,10.3882350921631,40,122,True,False,10.3932905197144,5.87747175411144E-39,,,,
